,name,match_code,stage_detail,base_points,total_points,cumulative_total_points,cumulative_avg_total_points,difference
142,Larry,M48,05. KO - Quarter Final,0,0,17,21.3,-4.300000000000001
143,Larry,M49,06. KO - Semi Final,3,3,20,23.1,-3.1000000000000014
144,Larry,M50,06. KO - Semi Final,3,6,26,23.9,2.1000000000000014
145,Luke,M01,01. Groups - Matchday 1,1,2,2,1.6,0.3999999999999999
146,Luke,M03,01. Groups - Matchday 1,1,1,3,2.2,0.7999999999999998
147,Luke,M05,01. Groups - Matchday 1,3,3,6,3.9,2.1
148,Luke,M08,01. Groups - Matchday 1,1,1,7,4.8,2.2
149,Luke,M12,01. Groups - Matchday 1,1,1,8,6.2,1.7999999999999998
150,Luke,M13,02. Groups - Matchday 2,0,0,8,6.2,1.7999999999999998
151,Luke,M16,02. Groups - Matchday 2,0,0,8,6.8,1.2000000000000002
152,Luke,M17,02. Groups - Matchday 2,0,0,8,6.9,1.0999999999999996
153,Luke,M20,02. Groups - Matchday 2,1,1,9,7.1,1.9000000000000004
154,Luke,M22,02. Groups - Matchday 2,3,3,12,8.8,3.1999999999999993
155,Luke,M26,03. Groups - Matchday 3,1,1,13,9.3,3.6999999999999993
156,Luke,M28,03. Groups - Matchday 3,0,0,13,10.0,3.0
157,Luke,M30,03. Groups - Matchday 3,0,0,13,10.1,2.9000000000000004
158,Luke,M31,03. Groups - Matchday 3,0,0,13,10.2,2.8000000000000007
159,Luke,M36,03. Groups - Matchday 3,0,0,13,11.8,1.1999999999999993
160,Luke,M37,04. KO - Round of 16,1,1,14,14.1,-0.09999999999999964
161,Luke,M38,04. KO - Round of 16,0,0,14,14.3,-0.3000000000000007
162,Luke,M39,04. KO - Round of 16,1,2,16,15.7,0.3000000000000007
163,Luke,M40,04. KO - Round of 16,0,0,16,15.7,0.3000000000000007
164,Luke,M41,04. KO - Round of 16,0,0,16,15.7,0.3000000000000007
165,Luke,M42,04. KO - Round of 16,3,3,19,16.8,2.1999999999999993
166,Luke,M43,04. KO - Round of 16,1,1,20,17.2,2.8000000000000007
167,Luke,M44,04. KO - Round of 16,0,0,20,17.2,2.8000000000000007
168,Luke,M45,05. KO - Quarter Final,3,3,23,18.2,4.800000000000001
169,Luke,M46,05. KO - Quarter Final,0,0,23,18.4,4.600000000000001
170,Luke,M47,05. KO - Quarter Final,1,2,25,20.7,4.300000000000001
